gender,age_bracket,city_tier,avg_monthly_spend,price_sensitivity_level,interest_top3,preferred_channel,discount_response,lifecycle_stage,scenario_top2
其他,18-24,一线,5306,低,家居/时尚/游戏,线下门店,优惠券,流失,周末出游/自我犒赏
男,18-24,一线,2335,中等,母婴/家居/美妆,微信,限时秒杀,流失,刚需补货/周末出游
男,45-54,新一线,906,高,运动/户外/旅行,天猫,限时秒杀,活跃,家庭采购/通勤
女,35-44,一线,6681,低,宠物/理财/健身,线下门店,无明显偏好,流失,周末出游/节日送礼
女,45-54,新一线,11099,低,宠物/母婴/阅读,小红书,限时秒杀,复购,周末出游/刚需补货
女,18-24,三线,5354,低,养生/宠物/运动,天猫,会员价,活跃,自我犒赏/家庭采购
其他,55+,一线,10780,低,运动/家居/时尚,京东,无明显偏好,复购,节日送礼/家庭采购
女,18-24,二线,1325,高,旅行/汽车/理财,小红书,限时秒杀,流失,家庭采购/周末出游
其他,35-44,三线,11332,低,养生/游戏/理财,抖音,限时秒杀,流失,自我犒赏/家庭采购
男,35-44,四线及以下,7343,低,宠物/家居/游戏,微信,无明显偏好,新客,通勤/刚需补货
女,25-34,二线,11949,低,户外/阅读/汽车,京东,无明显偏好,流失,自我犒赏/朋友聚餐
女,55+,一线,11969,低,时尚/理财/旅行,小红书,会员价,沉睡,日常购物/节日送礼
女,55+,新一线,9001,低,运动/音乐/数码,线下门店,会员价,流失,节日送礼/周末出游
女,25-34,四线及以下,9489,低,美妆/旅行/摄影,小红书,优惠券,复购,自我犒赏/周末出游
女,25-34,四线及以下,2090,中等,阅读/摄影/时尚,微信,限时秒杀,活跃,朋友聚餐/自我犒赏
女,25-34,四线及以下,10738,低,户外/母婴/音乐,线下门店,会员价,沉睡,家庭采购/节日送礼
男,35-44,一线,4861,中等,家居/阅读/旅行,小红书,限时秒杀,流失,节日送礼/通勤
女,55+,一线,4550,中等,阅读/健身/旅行,小红书,限时秒杀,复购,朋友聚餐/周末出游
男,25-34,四线及以下,10240,低,摄影/家居/时尚,京东,限时秒杀,新客,周末出游/家庭采购
男,25-34,三线,7535,低,养生/健身/数码,小红书,无明显偏好,复购,周末出游/朋友聚餐
女,25-34,四线及以下,8150,低,游戏/户外/运动,天猫,无明显偏好,活跃,周末出游/节日送礼
男,18-24,一线,11484,低,时尚/美妆/阅读,抖音,限时秒杀,沉睡,朋友聚餐/节日送礼
女,35-44,一线,3497,中等,汽车/美妆/时尚,天猫,无明显偏好,复购,刚需补货/家庭采购
其他,45-54,三线,3336,中等,母婴/美食/时尚,小红书,优惠券,复购,通勤/朋友聚餐
男,35-44,四线及以下,9501,低,运动/健身/阅读,抖音,优惠券,流失,周末出游/家庭采购
女,35-44,一线,10133,低,家居/健身/阅读,京东,会员价,复购,节日送礼/家庭采购
其他,25-34,二线,5151,低,汽车/游戏/美食,京东,会员价,新客,通勤/节日送礼
男,45-54,一线,2000,中等,时尚/母婴/理财,抖音,会员价,新客,节日送礼/日常购物
女,25-34,三线,9700,低,美食/音乐/美妆,线下门店,会员价,新客,日常购物/朋友聚餐
女,18-24,四线及以下,3346,中等,理财/美食/母婴,线下门店,会员价,活跃,自我犒赏/朋友聚餐
男,25-34,一线,2312,中等,户外/理财/健身,小红书,会员价,活跃,自我犒赏/周末出游
其他,35-44,四线及以下,7807,低,时尚/美妆/数码,小红书,限时秒杀,流失,通勤/刚需补货
女,45-54,四线及以下,3226,中等,户外/游戏/健身,天猫,会员价,新客,家庭采购/周末出游
其他,25-34,一线,6594,低,时尚/户外/游戏,抖音,限时秒杀,活跃,刚需补货/通勤
女,55+,新一线,7545,低,家居/理财/运动,线下门店,优惠券,沉睡,通勤/刚需补货
男,25-34,二线,8341,低,宠物/美食/家居,抖音,优惠券,活跃,刚需补货/日常购物
女,18-24,新一线,6553,低,音乐/汽车/旅行,小红书,优惠券,复购,日常购物/自我犒赏
女,18-24,一线,10574,低,户外/宠物/旅行,京东,优惠券,沉睡,节日送礼/日常购物
女,55+,三线,827,高,音乐/母婴/宠物,京东,优惠券,复购,家庭采购/朋友聚餐
女,55+,新一线,9108,低,美食/户外/旅行,京东,会员价,流失,日常购物/周末出游
